take_id,filename,sequence,cue_first,cue_last,word_count,text_sha256,source_class,selected_speed,source_sha256,start,end,window_seconds
T053,T053.wav,S5,86,86,11,18639c9d423143b80a24de59a530451c30b98a37e157bd3c1a2eea4e2b06c881,RAW_NATURAL_SPEED,1.0,6ba2664a0169c175011a98209190fdbd08911c7a5f500a60daccd33f05173b56,00:05:46.046,00:05:50.916,4.870
T054,T054.wav,S5,87,89,15,b9c052f0329435b625f599c2ac1db28ccc333236ab6344c8fcc1d695b741e1bc,RAW_NATURAL_SPEED,1.0,e1f8ea4b9546d6ac716643e7fb14eec524d31184bf9d2bb3f41297cfefb41a39,00:05:51.366,00:05:59.036,7.670
T055,T055.wav,S5,90,90,10,554abe1e7ac5ec77f88838ae02846b13f65d9088d8b59e2a245e94ae6fdece11,RAW_NATURAL_SPEED,1.0,0f3ccd3584bffa92708ff9e7b7bf8e82d87fe883d18b92b9baafbe5af3076ec3,00:05:59.735,00:06:03.960,4.225
T056,T056.wav,S6,91,92,13,90634779e80512ac26b5277965c218f09612a6e1ced2c4d7a84cb04742bbed71,RAW_NATURAL_SPEED,1.0,591e996358807f8e16dec6c16d11e5dd73bcfbb1d1ed7aa674e8ffa93824562d,00:06:05.560,00:06:11.053,5.493
T057,T057.wav,S6,93,93,8,4fe91b7884882bf38891d8dcdf58fca7b96be314595774e9e095206f2ec7e680,RAW_NATURAL_SPEED,1.0,4318ff1f2e8586899d1c4227322f5556021c07dea3dc9de90c7b08afb7d6a7c6,00:06:11.639,00:06:14.719,3.080
T058,T058.wav,S6,94,95,11,fe9a9d78fead02136563bc08796d8c7ffbaec6be8f1b9567a8b86931eac2b95c,SURGICAL_REWRITE,1.15,b1b885d92357824bd46d2fe46dfbcaf7667a0d546fcff9a6c007f70b2ab1cbe4,00:06:14.719,00:06:19.773,5.054
T059,T059.wav,S6,96,96,9,fe92a6503d4e0cdb7b83fcdca09184daf9207175123265e03634ac293ff4333a,ADAPTIVE_EXISTING,1.15,40e633aba92af19a0a6ab70305d7073c7e4ca0e176f409d08b1fec1a749cde58,00:06:19.773,00:06:23.472,3.699
T060,T060.wav,S6,97,97,9,0445cb7fbb6aa22b5ed28ae3c42c367b802b51198b6c1a8bf57dbad04158f74c,ADAPTIVE_EXISTING,1.15,7038ac47c5b7fffedfcc34dca3cbc4e32c5011d8ba2341057fd09497c0392b12,00:06:23.472,00:06:27.725,4.253
T061,T061.wav,S6,98,99,11,91d5f36d472a62050acaae9ff8997353b4378e0099f5fbdd54900f98b7a44b19,EDITORIAL_BOUNDARY_TRANSFER,1.15,5c38ec2d4e69d938c7f3b3f4e12cebc0011d96460e2572636900126525320155,00:06:27.725,00:06:32.145,4.420
T062,T062.wav,S6,100,102,10,20fbf8abbc0513d9fc6a16a254c9f2550cdf191726b5f1c0a17b697a2c503234,SURGICAL_REWRITE,1.0,ac05087eb0ac56ab2c010157aed05e0d578c5916a493c641e420f1534a6b6c01,00:06:32.145,00:06:40.300,8.155
